ay,need,setting,alpha,beta,expectation
1,UKN,EO,0.02725564,0.97274435,0.02725564
1,UKN,IMS,0.02725564,0.97274435,0.02725564
1,UKN,ISS,0.02725564,0.97274435,0.02725564
1,UKN,ISSR,0.02725564,0.97274435,0.02725564
1,UKN,MMS,0.02725564,0.97274435,0.02725564
1,UKN,MMSIB,0.02725564,0.97274435,0.02725564
1,UKN,MMSOB,0.02725564,0.97274435,0.02725564
1,UKN,MSS,0.02725564,0.97274435,0.02725564
1,UKN,MSSIB,1.0272557,2.9727445,0.2568139
1,UKN,MSSOB,0.02725564,0.97274435,0.02725564
1,UKN,MSSOP,0.02725564,0.97274435,0.02725564
1,UKN,MU,0.02725564,1.9727443,0.01362782
1,UKN,MUOB,0.02725564,0.97274435,0.02725564
1,UKN,NMSS,0.02725564,0.97274435,0.02725564
1,UKN,NMSSR,0.02725564,0.97274435,0.02725564
1,UKN,OOE,0.02725564,0.97274435,0.02725564
2,CI,EO,0.029516995,4.970483,0.005903399
2,CI,IMS,0.029516995,2.970483,0.009838998
2,CI,ISS,0.029516995,5.970483,0.004919499
2,CI,ISSR,0.029516995,0.970483,0.029516995
2,CI,MMS,0.029516995,0.970483,0.029516995
2,CI,MMSIB,9.029517,234.97049,0.037006218
2,CI,MMSOB,0.029516995,4.970483,0.005903399
2,CI,MSS,0.029516995,0.970483,0.029516995
2,CI,MSSIB,1.0295169,60.97048,0.016605113
2,CI,MSSOB,0.029516995,1.9704831,0.0147584975
2,CI,MSSOP,0.029516995,1.9704831,0.0147584975
2,CI,MU,2.029517,32.97048,0.0579862
2,CI,MUOB,0.029516995,0.970483,0.029516995
2,CI,NMSS,0.029516995,1.9704831,0.0147584975
2,CI,NMSSR,0.029516995,0.970483,0.029516995
2,CI,OOE,0.029516995,5.970483,0.004919499
2,CL,EO,0.029516995,0.970483,0.029516995
2,CL,IMS,0.029516995,1.9704831,0.0147584975
2,CL,ISS,0.029516995,0.970483,0.029516995
2,CL,ISSR,0.029516995,0.970483,0.029516995
2,CL,MMS,0.029516995,0.970483,0.029516995
2,CL,MMSIB,0.029516995,60.97048,4.8388515E-4
2,CL,MMSOB,0.029516995,4.970483,0.005903399
2,CL,MSS,0.029516995,0.970483,0.029516995
2,CL,MSSIB,0.029516995,35.97048,8.1991655E-4
2,CL,MSSOB,0.029516995,3.970483,0.0073792487
2,CL,MSSOP,0.029516995,0.970483,0.029516995
2,CL,MU,0.029516995,2.970483,0.009838998
2,CL,MUOB,0.029516995,0.970483,0.029516995
2,CL,NMSS,0.029516995,0.970483,0.029516995
2,CL,NMSSR,0.029516995,0.970483,0.029516995
2,CL,OOE,0.029516995,0.970483,0.029516995
2,OTH,EO,0.029516995,0.970483,0.029516995
2,OTH,IMS,0.029516995,0.970483,0.029516995
2,OTH,ISS,0.029516995,0.970483,0.029516995
2,OTH,ISSR,0.029516995,0.970483,0.029516995
2,OTH,MMS,0.029516995,0.970483,0.029516995
2,OTH,MMSIB,0.029516995,6.970483,0.0042167134
2,OTH,MMSOB,0.029516995,1.9704831,0.0147584975
2,OTH,MSS,0.029516995,0.970483,0.029516995
2,OTH,MSSIB,0.029516995,1.9704831,0.0147584975
2,OTH,MSSOB,0.029516995,0.970483,0.029516995
2,OTH,MSSOP,0.029516995,0.970483,0.029516995
2,OTH,MU,0.029516995,0.970483,0.029516995
