calendar-year,academic-year,need,setting,population
2017,8,T,G,1.0
2017,8,T,H,0.0
2017,8,T,I,0.0
2017,8,T,J,3.0
2017,8,T,K,0.0
2017,8,T,L,0.0
2017,8,T,M,0.0
2017,8,T,N,0.0
2017,8,T,R,0.0
2017,8,U,A,6.0
2017,8,U,B,27.0
2017,8,U,C,0.0
2017,8,U,D,0.0
2017,8,U,E,0.0
2017,8,U,F,0.0
2017,8,U,G,0.0
2017,8,U,H,0.0
2017,8,U,I,0.0
2017,8,U,J,1.0
2017,8,U,K,0.0
2017,8,U,L,0.0
2017,8,U,M,0.0
2017,8,U,N,0.0
2017,8,U,R,0.0
2017,8,V,A,1.0
2017,8,V,B,1.0
2017,8,V,C,0.0
2017,8,V,D,0.0
2017,8,V,E,0.0
2017,8,V,F,0.0
2017,8,V,G,0.0
2017,8,V,H,0.0
2017,8,V,I,0.0
2017,8,V,J,0.0
2017,8,V,K,0.0
2017,8,V,L,0.0
2017,8,V,M,0.0
2017,8,V,N,0.0
2017,8,V,R,0.0
2017,8,W,A,0.0
2017,8,W,B,0.0
2017,8,W,C,0.0
2017,8,W,D,0.0
2017,8,W,E,0.0
2017,8,W,F,0.0
2017,8,W,G,0.0
2017,8,W,H,0.0
2017,8,W,I,0.0
2017,8,W,J,0.0
2017,8,W,K,0.0
2017,8,W,L,0.0
2017,8,W,M,0.0
2017,8,W,N,0.0
2017,8,W,R,0.0
2017,8,X,A,1.0
2017,8,X,B,6.0
2017,8,X,C,0.0
2017,8,X,D,2.0
2017,8,X,E,0.0
2017,8,X,F,0.0
2017,8,X,G,0.0
2017,8,X,H,1.0
2017,8,X,I,0.0
2017,8,X,J,1.0
2017,8,X,K,0.0
2017,8,X,L,1.0
2017,8,X,M,0.0
2017,8,X,N,0.0
2017,8,X,R,0.0
2017,8,Y,A,0.0
2017,8,Y,B,12.0
2017,8,Y,C,0.0
2017,8,Y,D,0.0
2017,8,Y,E,0.0
2017,8,Y,F,3.0
2017,8,Y,G,0.0
2017,8,Y,H,0.0
2017,8,Y,I,1.0
2017,8,Y,J,0.0
2017,8,Y,K,0.0
2017,8,Y,L,1.0
2017,8,Y,M,0.0
2017,8,Y,N,0.0
2017,8,Y,R,0.0
2017,9,T,A,17.0
2017,9,T,B,64.0
2017,9,T,C,0.0
2017,9,T,D,0.0
2017,9,T,E,0.0
2017,9,T,F,0.0
2017,9,T,G,0.0
2017,9,T,H,4.0
2017,9,T,I,2.0
2017,9,T,J,0.0
2017,9,T,K,0.0
2017,9,T,L,7.0
2017,9,T,M,0.0
2017,9,T,N,0.0
2017,9,T,R,0.0
2017,9,U,A,13.0
2017,9,U,B,20.0
2017,9,U,C,0.0
2017,9,U,D,0.0
2017,9,U,E,0.0
2017,9,U,F,0.0
2017,9,U,G,0.0
2017,9,U,H,1.0
2017,9,U,I,0.0
2017,9,U,J,2.0
2017,9,U,K,0.0
2017,9,U,L,5.0
2017,9,U,M,0.0
2017,9,U,N,0.0
2017,9,U,R,0.0
2017,9,V,A,1.0
2017,9,V,B,2.0
2017,9,V,C,0.0
2017,9,V,D,0.0
2017,9,V,E,0.0
2017,9,V,F,0.0
2017,9,V,G,0.0
2017,9,V,H,0.0
2017,9,V,I,0.0
2017,9,V,J,0.0
2017,9,V,K,0.0
2017,9,V,L,0.0
2017,9,V,M,0.0
2017,9,V,N,0.0
2017,9,V,R,0.0
2017,9,W,A,0.0
2017,9,W,B,0.0
2017,9,W,C,0.0
2017,9,W,D,0.0
2017,9,W,E,0.0
2017,9,W,F,0.0
2017,9,W,G,0.0
2017,9,W,H,0.0
2017,9,W,I,0.0
2017,9,W,J,0.0
2017,9,W,K,0.0
2017,9,W,L,0.0
2017,9,W,M,0.0
2017,9,W,N,0.0
2017,9,W,R,2.0
2017,9,X,A,4.0
2017,9,X,B,10.0
2017,9,X,C,0.0
2017,9,X,D,0.0
2017,9,X,E,1.0
2017,9,X,F,0.0
2017,9,X,G,0.0
2017,9,X,H,1.0
2017,9,X,I,0.0
2017,9,X,J,2.0
2017,9,X,K,0.0
2017,9,X,L,1.0
2017,9,X,M,0.0
2017,9,X,N,5.0
2017,9,X,R,2.0
2017,9,Y,A,1.0
2017,9,Y,B,4.0
2017,9,Y,C,0.0
2017,9,Y,D,0.0
2017,9,Y,E,0.0
2017,9,Y,F,6.0
2017,9,Y,G,0.0
2017,9,Y,H,2.0
2017,9,Y,I,0.0
2017,9,Y,J,0.0
2017,9,Y,K,0.0
2017,9,Y,L,2.0
2017,9,Y,M,0.0
2017,9,Y,N,0.0
2017,9,Y,R,0.0
2017,10,T,A,7.0
2017,10,T,B,51.0
2017,10,T,C,1.0
2017,10,T,D,0.0
2017,10,T,E,0.0
2017,10,T,F,0.0
2017,10,T,G,0.0
2017,10,T,H,2.0
2017,10,T,I,0.0
2017,10,T,J,0.0
2017,10,T,K,1.0
2017,10,T,L,4.0
2017,10,T,M,0.0
2017,10,T,N,0.0
2017,10,T,R,0.0
2017,10,U,A,13.0
2017,10,U,B,15.0
2017,10,U,C,0.0
2017,10,U,D,0.0
2017,10,U,E,1.0
2017,10,U,F,0.0
2017,10,U,G,0.0
2017,10,U,H,1.0
2017,10,U,I,0.0
2017,10,U,J,0.0
2017,10,U,K,0.0
2017,10,U,L,0.0
2017,10,U,M,0.0
2017,10,U,N,1.0
2017,10,U,R,3.0
2017,10,V,A,3.0
2017,10,V,B,1.0
2017,10,V,C,0.0
2017,10,V,D,0.0
2017,10,V,E,0.0
2017,10,V,F,0.0
2017,10,V,G,0.0
2017,10,V,H,0.0
2017,10,V,I,0.0
2017,10,V,J,0.0
2017,10,V,K,0.0
2017,10,V,L,0.0
2017,10,V,M,0.0
2017,10,V,N,0.0
2017,10,V,R,0.0
2017,10,W,A,2.0
2017,10,W,B,3.0
2017,10,W,C,0.0
2017,10,W,D,0.0
2017,10,W,E,0.0
2017,10,W,F,0.0
2017,10,W,G,0.0
2017,10,W,H,0.0
2017,10,W,I,0.0
2017,10,W,J,0.0
2017,10,W,K,0.0
2017,10,W,L,0.0
2017,10,W,M,0.0
2017,10,W,N,0.0
2017,10,W,R,3.0
2017,10,X,A,0.0
2017,10,X,B,10.0
2017,10,X,C,0.0
2017,10,X,D,1.0
2017,10,X,E,1.0
2017,10,X,F,0.0
2017,10,X,G,3.0
2017,10,X,H,2.0
2017,10,X,I,0.0
2017,10,X,J,2.0
2017,10,X,K,1.0
2017,10,X,L,0.0
2017,10,X,M,0.0
2017,10,X,N,3.0
2017,10,X,R,7.0
2017,10,Y,A,0.0
2017,10,Y,B,5.0
2017,10,Y,C,0.0
2017,10,Y,D,0.0
2017,10,Y,E,0.0
2017,10,Y,F,1.0
2017,10,Y,G,0.0
2017,10,Y,H,0.0
2017,10,Y,I,0.0
2017,10,Y,J,0.0
2017,10,Y,K,0.0
2017,10,Y,L,0.0
2017,10,Y,M,0.0
2017,10,Y,N,0.0
2017,10,Y,R,0.0
2017,11,T,A,9.0
2017,11,T,B,39.0
2017,11,T,C,0.0
2017,11,T,D,0.0
2017,11,T,E,3.0
2017,11,T,F,0.0
2017,11,T,G,2.0
2017,11,T,H,3.0
2017,11,T,I,2.0
2017,11,T,J,3.0
2017,11,T,K,4.0
2017,11,T,L,2.0
2017,11,T,M,0.0
2017,11,T,N,0.0
2017,11,T,R,0.0
2017,11,T,S,0.0
2017,11,U,A,6.0
2017,11,U,B,17.0
2017,11,U,C,0.0
2017,11,U,D,0.0
2017,11,U,E,0.0
2017,11,U,F,0.0
2017,11,U,G,0.0
2017,11,U,H,2.0
2017,11,U,I,0.0
2017,11,U,J,0.0
2017,11,U,K,1.0
2017,11,U,L,1.0
2017,11,U,M,0.0
2017,11,U,N,3.0
2017,11,U,R,0.0
2017,11,U,S,0.0
2017,11,V,A,0.0
2017,11,V,B,6.0
2017,11,V,C,0.0
2017,11,V,D,0.0
2017,11,V,E,0.0
2017,11,V,F,0.0
2017,11,V,G,0.0
2017,11,V,H,0.0
2017,11,V,I,0.0
2017,11,V,J,0.0
2017,11,V,K,0.0
2017,11,V,L,0.0
2017,11,V,M,0.0
2017,11,V,N,0.0
2017,11,V,R,0.0
2017,11,V,S,0.0
2017,11,W,A,0.0
2017,11,W,B,2.0
2017,11,W,C,0.0
2017,11,W,D,0.0
2017,11,W,E,0.0
2017,11,W,F,0.0
2017,11,W,G,0.0
2017,11,W,H,0.0
2017,11,W,I,0.0
2017,11,W,J,0.0
2017,11,W,K,0.0
2017,11,W,L,0.0
2017,11,W,M,0.0
2017,11,W,N,0.0
2017,11,W,R,1.0
2017,11,W,S,0.0
2017,11,X,A,6.0
2017,11,X,B,9.0
2017,11,X,C,0.0
2017,11,X,D,4.0
2017,11,X,E,1.0
2017,11,X,F,0.0
2017,11,X,G,3.0
2017,11,X,H,1.0
2017,11,X,I,0.0
2017,11,X,J,1.0
2017,11,X,K,0.0
2017,11,X,L,0.0
2017,11,X,M,0.0
2017,11,X,N,0.0
2017,11,X,R,1.0
2017,11,X,S,0.0
2017,11,Y,A,0.0
2017,11,Y,B,6.0
2017,11,Y,C,0.0
2017,11,Y,D,0.0
2017,11,Y,E,0.0
2017,11,Y,F,3.0
2017,11,Y,G,0.0
2017,11,Y,H,0.0
