calendar-year,academic-year,need,setting,population
2017,0,UKN,EO,0.0
2017,0,UKN,EYS,0.0
2017,0,UKN,IMS,0.0
2017,0,UKN,ISS,0.0
2017,0,UKN,ISSR,0.0
2017,0,UKN,MMS,0.0
2017,0,UKN,MMSIB,1.0
2017,0,UKN,MMSOB,0.0
2017,0,UKN,MSS,0.0
2017,0,UKN,MSSIB,0.0
2017,0,UKN,MSSOB,0.0
2017,0,UKN,MSSOP,0.0
2017,0,UKN,MU,0.0
2017,0,UKN,MUOB,0.0
2017,0,UKN,NMSS,0.0
2017,0,UKN,NMSSR,0.0
2017,0,UKN,OOE,0.0
2017,1,CI,EO,1.0
2017,1,CI,IMS,0.0
2017,1,CI,ISS,0.0
2017,1,CI,ISSR,0.0
2017,1,CI,MMS,0.0
2017,1,CI,MMSIB,52.0
2017,1,CI,MMSOB,1.0
2017,1,CI,MSS,0.0
2017,1,CI,MSSIB,12.0
2017,1,CI,MSSOB,0.0
2017,1,CI,MSSOP,0.0
2017,1,CI,MU,6.0
2017,1,CI,MUOB,0.0
2017,1,CI,NMSS,0.0
2017,1,CI,NMSSR,0.0
2017,1,CI,OOE,0.0
2017,1,CL,EO,0.0
2017,1,CL,IMS,0.0
2017,1,CL,ISS,0.0
2017,1,CL,ISSR,0.0
2017,1,CL,MMS,0.0
2017,1,CL,MMSIB,12.0
2017,1,CL,MMSOB,0.0
2017,1,CL,MSS,0.0
2017,1,CL,MSSIB,8.0
2017,1,CL,MSSOB,1.0
2017,1,CL,MSSOP,1.0
2017,1,CL,MU,0.0
2017,1,CL,MUOB,0.0
2017,1,CL,NMSS,0.0
2017,1,CL,NMSSR,0.0
2017,1,CL,OOE,1.0
2017,1,OTH,EO,0.0
2017,1,OTH,IMS,0.0
2017,1,OTH,ISS,0.0
2017,1,OTH,ISSR,0.0
2017,1,OTH,MMS,0.0
2017,1,OTH,MMSIB,0.0
2017,1,OTH,MMSOB,0.0
2017,1,OTH,MSS,0.0
2017,1,OTH,MSSIB,1.0
2017,1,OTH,MSSOB,0.0
2017,1,OTH,MSSOP,0.0
2017,1,OTH,MU,2.0
2017,1,OTH,MUOB,0.0
2017,1,OTH,NMSS,0.0
2017,1,OTH,NMSSR,0.0
2017,1,OTH,OOE,0.0
2017,1,SEMH,EO,0.0
2017,1,SEMH,IMS,0.0
2017,1,SEMH,ISS,0.0
2017,1,SEMH,ISSR,0.0
2017,1,SEMH,MMS,0.0
2017,1,SEMH,MMSIB,2.0
2017,1,SEMH,MMSOB,0.0
2017,1,SEMH,MSS,0.0
2017,1,SEMH,MSSIB,0.0
2017,1,SEMH,MSSOB,0.0
2017,1,SEMH,MSSOP,0.0
2017,1,SEMH,MU,0.0
2017,1,SEMH,MUOB,0.0
2017,1,SEMH,NMSS,0.0
2017,1,SEMH,NMSSR,0.0
2017,1,SEMH,OOE,0.0
2017,1,SP,EO,0.0
2017,1,SP,IMS,0.0
2017,1,SP,ISS,0.0
2017,1,SP,ISSR,0.0
2017,1,SP,MMS,0.0
2017,1,SP,MMSIB,11.0
2017,1,SP,MMSOB,0.0
2017,1,SP,MSS,0.0
2017,1,SP,MSSIB,3.0
2017,1,SP,MSSOB,0.0
2017,1,SP,MSSOP,0.0
2017,1,SP,MU,6.0
2017,1,SP,MUOB,0.0
2017,1,SP,NMSS,0.0
2017,1,SP,NMSSR,0.0
2017,1,SP,OOE,1.0
2017,1,UKN,EO,0.0
2017,1,UKN,IMS,0.0
2017,1,UKN,ISS,0.0
2017,1,UKN,ISSR,0.0
2017,1,UKN,MMS,0.0
2017,1,UKN,MMSIB,2.0
2017,1,UKN,MMSOB,0.0
2017,1,UKN,MSS,0.0
2017,1,UKN,MSSIB,0.0
2017,1,UKN,MSSOB,0.0
2017,1,UKN,MSSOP,0.0
2017,1,UKN,MU,0.0
2017,1,UKN,MUOB,0.0
2017,1,UKN,NMSS,0.0
2017,1,UKN,NMSSR,0.0
2017,1,UKN,OOE,0.0
2017,2,CI,EO,0.0
2017,2,CI,IMS,0.0
2017,2,CI,ISS,0.0
2017,2,CI,ISSR,0.0
2017,2,CI,MMS,0.0
2017,2,CI,MMSIB,64.0
2017,2,CI,MMSOB,1.0
2017,2,CI,MSS,0.0
2017,2,CI,MSSIB,26.0
2017,2,CI,MSSOB,1.0
2017,2,CI,MSSOP,0.0
2017,2,CI,MU,7.0
2017,2,CI,MUOB,0.0
2017,2,CI,NMSS,0.0
2017,2,CI,NMSSR,0.0
2017,2,CI,OOE,0.0
2017,2,CL,EO,1.0
2017,2,CL,IMS,0.0
2017,2,CL,ISS,0.0
2017,2,CL,ISSR,0.0
2017,2,CL,MMS,0.0
2017,2,CL,MMSIB,21.0
2017,2,CL,MMSOB,0.0
2017,2,CL,MSS,0.0
2017,2,CL,MSSIB,17.0
2017,2,CL,MSSOB,0.0
2017,2,CL,MSSOP,0.0
2017,2,CL,MU,0.0
2017,2,CL,MUOB,0.0
2017,2,CL,NMSS,0.0
2017,2,CL,NMSSR,0.0
2017,2,CL,OOE,1.0
2017,2,OTH,EO,0.0
2017,2,OTH,IMS,0.0
2017,2,OTH,ISS,0.0
2017,2,OTH,ISSR,0.0
2017,2,OTH,MMS,0.0
2017,2,OTH,MMSIB,2.0
2017,2,OTH,MMSOB,0.0
2017,2,OTH,MSS,0.0
2017,2,OTH,MSSIB,0.0
2017,2,OTH,MSSOB,0.0
2017,2,OTH,MSSOP,0.0
2017,2,OTH,MU,0.0
2017,2,OTH,MUOB,0.0
2017,2,OTH,NMSS,0.0
2017,2,OTH,NMSSR,0.0
2017,2,OTH,OOE,1.0
2017,2,SEMH,EO,0.0
2017,2,SEMH,IMS,0.0
2017,2,SEMH,ISS,0.0
2017,2,SEMH,ISSR,0.0
2017,2,SEMH,MMS,0.0
2017,2,SEMH,MMSIB,3.0
2017,2,SEMH,MMSOB,1.0
2017,2,SEMH,MSS,0.0
2017,2,SEMH,MSSIB,1.0
2017,2,SEMH,MSSOB,0.0
2017,2,SEMH,MSSOP,0.0
2017,2,SEMH,MU,0.0
2017,2,SEMH,MUOB,0.0
2017,2,SEMH,NMSS,0.0
2017,2,SEMH,NMSSR,0.0
2017,2,SEMH,OOE,0.0
2017,2,SP,EO,0.0
2017,2,SP,IMS,1.0
2017,2,SP,ISS,0.0
2017,2,SP,ISSR,0.0
2017,2,SP,MMS,0.0
2017,2,SP,MMSIB,11.0
2017,2,SP,MMSOB,0.0
2017,2,SP,MSS,0.0
2017,2,SP,MSSIB,3.0
2017,2,SP,MSSOB,1.0
2017,2,SP,MSSOP,0.0
2017,2,SP,MU,6.0
2017,2,SP,MUOB,1.0
2017,2,SP,NMSS,0.0
2017,2,SP,NMSSR,0.0
2017,2,SP,OOE,0.0
2017,2,UKN,EO,0.0
2017,2,UKN,IMS,0.0
2017,2,UKN,ISS,0.0
2017,2,UKN,ISSR,0.0
2017,2,UKN,MMS,0.0
2017,2,UKN,MMSIB,1.0
2017,2,UKN,MMSOB,0.0
2017,2,UKN,MSS,0.0
2017,2,UKN,MSSIB,0.0
2017,2,UKN,MSSOB,0.0
2017,2,UKN,MSSOP,0.0
2017,2,UKN,MU,0.0
2017,2,UKN,MUOB,0.0
2017,2,UKN,NMSS,0.0
2017,2,UKN,NMSSR,0.0
2017,2,UKN,OOE,0.0
2017,3,CI,EO,1.0
2017,3,CI,IMS,1.0
2017,3,CI,ISS,1.0
2017,3,CI,ISSR,0.0
2017,3,CI,MMS,0.0
2017,3,CI,MMSIB,72.0
2017,3,CI,MMSOB,1.0
2017,3,CI,MSS,0.0
2017,3,CI,MSSIB,13.0
2017,3,CI,MSSOB,0.0
2017,3,CI,MSSOP,1.0
2017,3,CI,MU,8.0
2017,3,CI,MUOB,0.0
2017,3,CI,NMSS,0.0
2017,3,CI,NMSSR,0.0
2017,3,CI,OOE,3.0
2017,3,CL,EO,0.0
2017,3,CL,IMS,0.0
2017,3,CL,ISS,1.0
2017,3,CL,ISSR,0.0
2017,3,CL,MMS,0.0
2017,3,CL,MMSIB,23.0
2017,3,CL,MMSOB,1.0
2017,3,CL,MSS,0.0
2017,3,CL,MSSIB,9.0
2017,3,CL,MSSOB,1.0
2017,3,CL,MSSOP,0.0
2017,3,CL,MU,0.0
2017,3,CL,MUOB,0.0
2017,3,CL,NMSS,0.0
2017,3,CL,NMSSR,0.0
2017,3,CL,OOE,0.0
2017,3,OTH,EO,0.0
2017,3,OTH,IMS,0.0
2017,3,OTH,ISS,0.0
2017,3,OTH,ISSR,0.0
2017,3,OTH,MMS,0.0
2017,3,OTH,MMSIB,1.0
2017,3,OTH,MMSOB,1.0
2017,3,OTH,MSS,0.0
2017,3,OTH,MSSIB,0.0
2017,3,OTH,MSSOB,0.0
2017,3,OTH,MSSOP,0.0
2017,3,OTH,MU,0.0
2017,3,OTH,MUOB,0.0
2017,3,OTH,NMSS,0.0
2017,3,OTH,NMSSR,0.0
2017,3,OTH,OOE,0.0
2017,3,SEMH,EO,0.0
2017,3,SEMH,IMS,0.0
2017,3,SEMH,ISS,0.0
2017,3,SEMH,ISSR,0.0
2017,3,SEMH,MMS,0.0
2017,3,SEMH,MMSIB,8.0
2017,3,SEMH,MMSOB,2.0
2017,3,SEMH,MSS,0.0
2017,3,SEMH,MSSIB,6.0
2017,3,SEMH,MSSOB,1.0
2017,3,SEMH,MSSOP,0.0
2017,3,SEMH,MU,0.0
2017,3,SEMH,MUOB,0.0
2017,3,SEMH,NMSS,0.0
2017,3,SEMH,NMSSR,0.0
2017,3,SEMH,OOE,0.0
2017,3,SP,EO,0.0
2017,3,SP,IMS,0.0
2017,3,SP,ISS,0.0
2017,3,SP,ISSR,0.0
2017,3,SP,MMS,0.0
2017,3,SP,MMSIB,8.0
2017,3,SP,MMSOB,0.0
2017,3,SP,MSS,0.0
2017,3,SP,MSSIB,1.0
2017,3,SP,MSSOB,1.0
2017,3,SP,MSSOP,0.0
2017,3,SP,MU,9.0
2017,3,SP,MUOB,0.0
2017,3,SP,NMSS,0.0
2017,3,SP,NMSSR,0.0
2017,3,SP,OOE,0.0
2017,3,UKN,EO,0.0
2017,3,UKN,IMS,0.0
2017,3,UKN,ISS,0.0
2017,3,UKN,ISSR,0.0
2017,3,UKN,MMS,0.0
2017,3,UKN,MMSIB,0.0
2017,3,UKN,MMSOB,0.0
2017,3,UKN,MSS,0.0
2017,3,UKN,MSSIB,0.0
2017,3,UKN,MSSOB,0.0
2017,3,UKN,MSSOP,0.0
2017,3,UKN,MU,0.0
2017,3,UKN,MUOB,0.0
2017,3,UKN,NMSS,0.0
2017,3,UKN,NMSSR,0.0
2017,3,UKN,OOE,0.0
2017,4,CI,EO,1.0
2017,4,CI,IMS,0.0
2017,4,CI,ISS,2.0
2017,4,CI,ISSR,0.0
2017,4,CI,MMS,0.0
2017,4,CI,MMSIB,72.0
2017,4,CI,MMSOB,1.0
2017,4,CI,MSS,0.0
2017,4,CI,MSSIB,22.0
2017,4,CI,MSSOB,1.0
2017,4,CI,MSSOP,0.0
2017,4,CI,MU,9.0
2017,4,CI,MUOB,0.0
2017,4,CI,NMSS,1.0
2017,4,CI,NMSSR,0.0
2017,4,CI,OOE,2.0
2017,4,CL,EO,0.0
2017,4,CL,IMS,0.0
2017,4,CL,ISS,1.0
2017,4,CL,ISSR,0.0
2017,4,CL,MMS,0.0
2017,4,CL,MMSIB,19.0
2017,4,CL,MMSOB,2.0
2017,4,CL,MSS,0.0
2017,4,CL,MSSIB,9.0
2017,4,CL,MSSOB,1.0
2017,4,CL,MSSOP,0.0
2017,4,CL,MU,1.0
2017,4,CL,MUOB,0.0
2017,4,CL,NMSS,0.0
2017,4,CL,NMSSR,0.0
2017,4,CL,OOE,1.0
2017,4,OTH,EO,0.0
2017,4,OTH,IMS,0.0
2017,4,OTH,ISS,0.0
2017,4,OTH,ISSR,0.0
2017,4,OTH,MMS,0.0
2017,4,OTH,MMSIB,0.0
2017,4,OTH,MMSOB,0.0
2017,4,OTH,MSS,0.0
2017,4,OTH,MSSIB,1.0
2017,4,OTH,MSSOB,0.0
2017,4,OTH,MSSOP,0.0
2017,4,OTH,MU,0.0
2017,4,OTH,MUOB,0.0
2017,4,OTH,NMSS,0.0
2017,4,OTH,NMSSR,0.0
2017,4,OTH,OOE,0.0
2017,4,SEMH,EO,0.0
2017,4,SEMH,IMS,0.0
2017,4,SEMH,ISS,1.0
2017,4,SEMH,ISSR,1.0
2017,4,SEMH,MMS,0.0
2017,4,SEMH,MMSIB,7.0
2017,4,SEMH,MMSOB,0.0
2017,4,SEMH,MSS,0.0
2017,4,SEMH,MSSIB,1.0
2017,4,SEMH,MSSOB,0.0
2017,4,SEMH,MSSOP,0.0
2017,4,SEMH,MU,0.0
2017,4,SEMH,MUOB,0.0
2017,4,SEMH,NMSS,0.0
2017,4,SEMH,NMSSR,0.0
2017,4,SEMH,OOE,0.0
2017,4,SP,EO,0.0
2017,4,SP,IMS,0.0
2017,4,SP,ISS,0.0
2017,4,SP,ISSR,0.0
2017,4,SP,MMS,0.0
2017,4,SP,MMSIB,8.0
2017,4,SP,MMSOB,0.0
2017,4,SP,MSS,0.0
2017,4,SP,MSSIB,1.0
2017,4,SP,MSSOB,0.0
2017,4,SP,MSSOP,0.0
2017,4,SP,MU,4.0
2017,4,SP,MUOB,0.0
2017,4,SP,NMSS,0.0
2017,4,SP,NMSSR,0.0
2017,4,SP,OOE,0.0
2017,4,UKN,EO,0.0
2017,4,UKN,IMS,0.0
2017,4,UKN,ISS,0.0
2017,4,UKN,ISSR,0.0
2017,4,UKN,MMS,0.0
2017,4,UKN,MMSIB,1.0
2017,4,UKN,MMSOB,0.0
2017,4,UKN,MSS,0.0
2017,4,UKN,MSSIB,0.0
2017,4,UKN,MSSOB,0.0
2017,4,UKN,MSSOP,1.0
2017,4,UKN,MU,0.0
2017,4,UKN,MUOB,0.0
2017,4,UKN,NMSS,0.0
2017,4,UKN,NMSSR,0.0
2017,4,UKN,OOE,0.0
2017,5,CI,EO,0.0
2017,5,CI,IMS,0.0
2017,5,CI,ISS,0.0
2017,5,CI,ISSR,0.0
2017,5,CI,MMS,0.0
2017,5,CI,MMSIB,70.0
2017,5,CI,MMSOB,0.0
2017,5,CI,MSS,0.0
2017,5,CI,MSSIB,21.0
2017,5,CI,MSSOB,1.0
2017,5,CI,MSSOP,0.0
2017,5,CI,MSSR,0.0
2017,5,CI,MU,6.0
2017,5,CI,MUOB,0.0
2017,5,CI,NMSS,0.0
2017,5,CI,NMSSR,0.0
2017,5,CI,OOE,1.0
2017,5,CL,EO,0.0
2017,5,CL,IMS,1.0
2017,5,CL,ISS,0.0
2017,5,CL,ISSR,0.0
2017,5,CL,MMS,0.0
2017,5,CL,MMSIB,19.0
